PROGR;CODICE;DESCRIZIONE;;;TARIFFA
102;23.11;ESTRAZIONE DI RADICE RESIDUA;T30;16,27;16,27
103;23.19;ALTRA ESTRAZIONE CHIRURGICA DI DENTE;T30;30,21;30,21
104;23.20.1;RICOSTRUZIONE DI DENTE MEDIANTE OTTURAZIONE;T30;18,59;18,59
105;23.20.2;RICOSTRUZIONE DI DENTE MEDIANTE OTTURAZIONE;T30;34,86;34,86
106;23.3;RICOSTRUZIONE DI DENTE MEDIANTE INTARSIO;T30;34,86;34,86
107;23.41;APPLICAZIONE DI CORONA;T30;31,40;31,40
108;23.41.1;APPLICAZIONE DI CORONA IN LEGA AUREA;T30;31,40;31,40
109;23.41.2;ALTRA APPLICAZIONE DI CORONA;T30;38,73;38,73
110;23.41.3;APPLICAZIONE DI CORONA E PERNO;T30;44,16;44,16
111;23.41.4;ALTRA APPLICAZIONE DI CORONA E PERNO;T30;44,16;44,16
112;23.42;INSERZIONE DI PONTE FISSO;T30;69,72;69,72
113;23.43.1;INSERZIONE DI PROTESI RIMOVIBILE;T30;129,11;129,11
114;23.43.2;ALTRA INSERZIONE DI PROTESI RIMOVIBILE;T30;81,34;81,34
115;23.43.3;INSERZIONE DI PROTESI PROVVISORIA ;T30;16,27;16,27
116;23.49.1;ALTRA RIPARAZIONE DENTARIA;T30;16,27;16,27
117;23.5;IMPIANTO DI DENTE;T30;11,62;11,62
118;23.6;IMPIANTO DI PROTESI DENTARIA;T30;81,34;81,34
119;23.71.1;TERAPIA CANALARE IN DENTE MONORADICOLATO;T30;34,86;34,86
120;23.71.2;TERAPIA CANALARE IN DENTE PLURIRADICOLATO;T30;53,45;53,45
121;23.73;APICECTOMIA;T30;44,16;44,16
122;24.00.1;GENGIVECTOMIA;T30;27,89;27,89
123;24.11;BIOPSIA DELLA GENGIVA;D30;13,94;19,46
124;24.12;BIOPSIA DELL'ALVEOLO;D30;13,94;19,46
125;24.20.1;GENGIVOPLASTICA [CHIRURGIA PARODONTALE];T30;58,10;58,10
126;24.31;ASPORTAZIONE DI LESIONE O TESSUTO DELLA GENGIVA;T30;27,89;27,89
127;24.39.1;LEVIGATURA DELLE RADICI ;T30;23,24;23,24
128;24.39.2;INTERVENTO CHIRURGICO PREPROTESICO;T30;20,92;20,92
129;24.4;ASPORTAZIONE DI LESIONE DENTARIA DELLA MANDIBOLA;T50;44,16;53,04
130;24.70.1;TRATTAMENTO ORTODONTICO CON APPARECCHI MOBILI;T30;116,20;116,20
131;24.70.2;TRATTAMENTO ORTODONTICO CON APPARECCHI FISSI;T30;116,20;116,20
132;24.70.3;TRATTAMENTO ORTODONTICO CON APPARECCHI ORTOPEDICO FUNZIONALI;T30;116,20;116,20
133;24.80.1;RIPARAZIONE DI APPARECCHIO ORTODONTICO;T30;26,75;26,75
134;25.01;BIOPSIA [AGOBIOPSIA] DELLA LINGUA;D30;19,52;27,30
135;25.91;FRENULOTOMIA LINGUALE;T50;14,67;17,64
136;25.92;FRENULECTOMIA LINGUALE;T50;14,67;17,64
137;26.0;INCISIONE DELLE GHIANDOLE O DOTTI SALIVARI;T50;19,52;23,40
138;26.11;BIOPSIA [AGOBIOPSIA] DI GHIANDOLA O DOTTO SALIVARE;D30;14,67;20,58
139;26.91;SPECILLAZIONE DI DOTTO SALIVARE;T50;14,67;17,64
140;27.21;BIOPSIA DEL PALATO OSSEO;D30;13,94;19,46
141;27.23;BIOPSIA DEL LABBRO;D30;13,94;19,46
142;27.24;BIOPSIA DELLA BOCCA, STRUTTURA NON SPECIFICATA;D30;13,94;19,46
143;27.41;FRENULECTOMIA LABIALE;T50;14,67;17,64
144;27.49.1;ALTRA ASPORTAZIONE DI LESIONE DELLA BOCCA;T50;19,52;23,40
145;27.51;SUTURA DI LACERAZIONE DEL LABBRO;T50;19,52;23,40
146;27.52;SUTURA DI LACERAZIONE DI ALTRA PARTE DELLA BOCCA;T50;19,52;23,40
147;27.71;INCISIONE DELL' UGOLA;T50;9,76;11,76
148;27.91;FRENULOTOMIA LABIALE;T50;14,67;17,64
149;28.00.1;INCISIONE E DRENAGGIO ASCESSO PERITONSILLARE;T50;19,52;23,40
150;29.12;BIOPSIA FARINGEA;D30;19,52;27,30
151;31.42;LARINGOSCOPIA E ALTRA TRACHEOSCOPIA;D29;27,11;27,11
152;31.42.1;LARINGOSCOPIA INDIRETTA;D29;6,97;6,97
153;31.42.2;LARINGOSTROBOSCOPIA;D29;20,92;20,92
154;31.43;BIOPSIA [ENDOSCOPICA] DELLA LARINGE;D30;24,43;34,16
155;31.48.1;ESAME ELETTROGLOTTOGRAFICO;D29;12,91;12,91
156;31.48.2;ESAME FONETOGRAFICO;D29;22,67;22,67
157;33.22;BRONCOSCOPIA CON FIBRE OTTICHE;D29;82,63;82,63
158;33.24;BIOPSIA BRONCHIALE [ENDOSCOPICA];D30;129,11;180,74
159;34.24;BIOPSIA DELLA PLEURA;D30;129,11;180,74
160;34.91;TORACENTESI;T50;92,96;111,60
161;34.91.1;TORACENTESI;T50;165,27;198,36
162;34.92;INIEZIONE NELLA CAVITA' TORACICA;T90;61,97;61,97
163;38.22;ANGIOSCOPIA PERCUTANEA;D29;59,29;59,29
164;38.22.1;CAPILLAROSCOPIA CON VIDEOREGISTRAZIONE;D29;59,29;59,29
165;38.59.1;MINISTRIPPING DI VENE VARICOSE DELL' ARTO INFERIORE;T50;209,17;251,04
166;38.95;CATETERISMO VENOSO PER DIALISI RENALE;T20;258,23;258,23
167;38.98;PUNTURA DI ARTERIA;T90;30,99;30,99
168;38.99.1;INIEZIONE DI MEZZO DI CONTRASTO PER SIMULAZIONE RADIOTERAPICA TC;T10;25,82;32,25
169;38.99.2;INIEZIONE DI MEZZO DI CONTRASTO PER SIMULAZIONE RADIOTERAPICA  RM;T10;41,32;51,63
170;39.92;INIEZIONE INTRAVENOSA DI SOSTANZE SCLEROSANTI;T90;8,73;8,73
171;39.95.1;EMODIALISI IN ACETATO O IN BICARBONATO;T20;154,94;154,94
172;39.95.2;EMODIALISI IN ACETATO O IN BICARBONATO, AD ASSISTENZA LIMITATA;T20;129,11;129,11
173;39.95.3;EMODIALISI IN ACETATO O IN BICARBONATO, DOMICILIARE;T20;103,29;103,29
174;39.95.4;EMODIALISI IN BICARBONATO E MEMBRANE MOLTO BIOCOMPATIBILI;T20;165,27;165,27
175;39.95.5;EMODIAFILTRAZIONE;T20;232,41;232,41
176;39.95.6;EMODIAFILTRAZIONE AD ASSISTENZA LIMITATA;T20;206,58;206,58
177;39.95.7;ALTRA EMODIAFILTRAZIONE;T20;258,23;258,23
178;39.95.8;EMOFILTRAZIONE;T20;258,23;258,23
179;39.95.9;EMODIALISI - EMOFILTRAZIONE;T20;206,58;206,58
180;39.99.1;VALUTAZIONE DEL RICIRCOLO DI FISTOLA ARTEROVENOSA;T20;17,46;17,46
181;40.11;BIOPSIA DI STRUTTURE LINFATICHE;D30;41,83;58,52
182;40.19.1;AGOBIOPSIA LINFONODALE ECO-GUIDATA;D30;59,29;83,02
183;40.19.2;AGOBIOPSIA LINFONODALE TC-GUIDATA;D30;104,58;146,44
184;41.31;BIOPSIA [AGOBIOPSIA] DEL MIDOLLO OSSEO;D30;34,86;48,86
185;42.24;BIOPSIA [ENDOSCOPICA] DELL' ESOFAGO;D24;45,96;64,40
186;42.29.1;TEST DI BERNSTEIN;D90;13,94;13,94
187;42.29.2;pH METRIA ESOFAGEA (24 ORE);D90;81,60;81,60
188;42.33.1;ASPORTAZIONE O DEMOLIZIONE ENDOSCOPICA DI LESIONE O TESSUTO ESOFAGEO;T50;50,35;60,48
189;42.33.2;ASPORTAZIONE  DI LESIONE O TESSUTO ESOFAGEO O RICANALIZZAZIONE ENDOSCOPICA ;T50;96,58;115,92
190;43.41.1;ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE O TESSUTO DELLO STOMACO;T50;48,81;58,56
191;43.41.2;ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE O TESSUTO DELLO STOMACO;T50;77,47;93,00
192;44.14;BIOPSIA [ENDOSCOPICA] DELLO STOMACO;D24;51,13;71,54
193;44.19.1;SONDAGGIO GASTRICO FRAZIONATO;D90;87,80;87,80
194;44.19.2;BREATH TEST PER HELYCOBACTER PYLORI (UREA C13);D90;13,94;13,94
195;45.13 ;ESOFAGOGASTRODUODENOSCOPIA [EGD];D24;56,81;56,81
196;45.14;BIOPSIA [ENDOSCOPICA] DELL' INTESTINO TENUE;D24;60,43;84,56
197;45.16;ESOFAGOGASTRODUODENOSCOPIA [EGD] CON BIOPSIA;D24;71,01;99,40
198;45.23;COLONSCOPIA CON ENDOSCOPIO FLESSIBILE;D24;61,97;86,80
199;45.23.1;COLONSCOPIA - ILEOSCOPIA RETROGRADA;D24;103,29;144,62
200;45.24;SIGMOIDOSCOPIA CON ENDOSCOPIO FLESSIBILE;D24;37,18;52,08
201;45.25;BIOPSIA [ENDOSCOPICA] DELL' INTESTINO CRASSO;D24;87,28;122,22
202;45.29.1;BREATH TEST PER DETERMINAZIONE TEMPO DI TRANSITO INTESTINALE;D90;74,89;74,89
203;45.29.2;BREATH TEST PER DETERMINAZIONE DI COLONIZZAZIONE BATTERICA ANOMALA;D90;41,83;41,83
204;45.29.3;BREATH TEST AL LATTOSIO;D90;27,89;27,89
205;45.29.4;MANOMETRIA DEL COLON;D29;167,33;167,33
206;45.42;POLIPECTOMIA ENDOSCOPICA  DELL' INTESTINO CRASSO;T50;96,84;116,16
207;45.43.1;ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE O TESSUTO DELL' INTESTINO CRASSO  ;T50;103,29;123,96
208;48.23;PROCTOSIGMOIDOSCOPIA CON ENDOSCOPIO RIGIDO;D24;25,05;35,14
209;48.24;BIOPSIA [ENDOSCOPICA] DEL RETTO;D24;41,83;58,52
210;48.29.1;MANOMETRIA ANO-RETTALE;D29;58,36;58,36
211;48.35;ASPORTAZIONE LOCALE DI LESIONE O TESSUTO DEL RETTO;T50;34,86;41,88
212;49.01;INCISIONE DI ASCESSO PERIANALE;T50;34,86;41,88
213;49.02;ALTRA INCISIONE DI TESSUTI PERIANALI;T50;34,86;41,88
214;49.11;FISTULOTOMIA ANALE;T50;34,86;41,88
215;49.21;ANOSCOPIA;D29;22,72;22,72
216;49.23;BIOPSIA DELL' ANO;D30;23,76;33,32
217;49.31;ASPORTAZIONE ENDOSCOPICA O DEMOLIZIONE DI LESIONE O TESSUTO DELL'ANO;T50;41,83;50,16
218;49.39;ALTRA ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE O TESSUTO DELL'ANO;T50;41,83;50,16
219;49.42;INIEZIONI DELLE EMORROIDI;T90;16,53;16,53
220;49.45;LEGATURA DELLE EMORROIDI;T50;41,83;50,16
221;49.46;ASPORTAZIONE DELLE EMORROIDI;T50;41,83;50,16
222;49.47;RIMOZIONE DI EMORROIDI TROMBIZZATE;T50;41,83;50,16
223;49.59;SFINTEROTOMIA ANALE;T50;41,83;50,16
224;50.11;BIOPSIA [PERCUTANEA][AGOBIOPSIA] DEL FEGATO;D30;77,47;108,50
225;50.19.1;BIOPSIA [PERCUTANEA][AGOBIOPSIA] DEL FEGATO;D30;154,94;216,86
226;50.91;ASPIRAZIONE PERCUTANEA DEL FEGATO;D30;154,94;216,86
227;51.12;BIOPSIA PERCUTANEA DELLA COLECISTI E DEI DOTTI BILIARI;D30;87,80;122,92
228;54.22;BIOPSIA DELLA PARETE ADDOMINALE O DELL' OMBELICO;D30;20,92;29,26
229;54.24;BIOPSIA [PERCUTANEA][AGOBIOPSIA] DI MASSA INTRAADDOMINALE;D30;61,97;86,80
230;54.24.1;BIOPSIA [PERCUTANEA][AGOBIOPSIA] ECO-GUIDATA DI MASSA INTRAADDOMINALE;D30;87,80;122,92
231;54.91;DRENAGGIO PERCUTANEO ADDOMINALE;D90;34,86;34,86
232;54.91.1;DRENAGGIO TC-GUIDATO PERCUTANEO ADDOMINALE;T50;129,11;154,92
233;54.93;CREAZIONE DI FISTOLA CUTANEOPERITONEALE;T20;104,58;104,58
234;54.97;INIEZIONE DI SOSTANZE TERAPEUTICHE AD AZIONE LOCALE NELLA CAVITA'  PERITONEALE ;T90;61,97;61,97
235;54.98.1;DIALISI PERITONEALE AUTOMATIZZATA (CCPD);T20;54,74;54,74
236;54.98.2;DIALISI PERITONEALE CONTINUA (CAPD);T20;46,48;46,48
237;55.92;ASPIRAZIONE PERCUTANEA RENALE;T50;61,97;74,40
238;56.31;URETEROSCOPIA;D24;72,72;101,78
239;57.17;CISTOSTOMIA PERCUTANEA;T50;27,27;32,76
240;57.32;CISTOSCOPIA [TRANSURETRALE];D24;45,45;63,70
241;57.33;CISTOSCOPIA [TRANSURETRALE] CON BIOPSIA;D24;56,81;79,52
242;57.39.1;CROMOCISTOSCOPIA;D24;56,81;79,52
243;57.39.2;ESAME URODINAMICO INVASIVO;D90;56,81;56,81
244;57.49.1;RESEZIONE TRANSURETRALE DI LESIONE VESCICALE O NEOPLASIA;T50;56,81;68,16
245;57.94;CATETERISMO VESCICALE;T90;9,09;9,09
246;58.22;URETROSCOPIA;D24;27,27;38,22
247;58.23;BIOPSIA DELL' URETRA;D30;38,63;54,04
248;58.31;ASPORTAZIONE O  ELETTROCOAGULAZIONE DI LESIONE O TESSUTO DELL'URETRA;T50;38,63;46,32
249;58.47;MEATOPLASTICA URETRALE;T50;87,80;105,36
250;58.5;URETROTOMIA ENDOSCOPICA;T50;38,63;46,32
251;58.60.1;DILATAZIONE URETRALE;T90;34,09;34,09
252;58.60.2;DILATAZIONI URETRALI PROGRESSIVE;T90;10,23;10,23
253;58.60.3;RIMOZIONE [ENDOSCOPICA] DI CALCOLO URETRALE ;T50;38,63;46,32
254;59.8;CATETERIZZAZIONE URETERALE;T50;22,72;27,24
255;60.0;DRENAGGIO ASCESSO PROSTATICO;T50;27,27;32,76
256;60.11;BIOPSIA TRANSPERINEALE [PERCUTANEA] [AGOBIOPSIA] DELLA PROSTATA;D30;27,27;38,22
257;60.11.1;BIOPSIA TRANSPERINEALE [PERCUTANEA] [AGOBIOPSIA] DELLA PROSTATA;D30;48,29;67,62
258;60.13;BIOPSIA [PERCUTANEA] DELLE VESCICOLE SEMINALI;D30;61,97;86,80
259;60.91;ASPIRAZIONE PERCUTANEA [CITOASPIRAZIONE] DELLA PROSTATA;D30;27,27;38,22
260;61.0;INCISIONE E DRENAGGIO DELLO SCROTO E DELLA TUNICA VAGINALE;T50;17,35;20,88
261;61.91;PUNTURA EVACUATIVA DI IDROCELE DELLA TUNICA VAGINALE;T50;17,35;20,88
262;62.11;BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DEL TESTICOLO;D30;27,27;38,22
263;63.52;DEROTAZIONE DEL FUNICOLO E DEL TESTICOLO;T50;14,87;17,88
264;63.71;LEGATURA DEI DOTTI DEFERENTI ;T50;87,80;105,36
265;64.11;BIOPSIA DEL PENE;D30;19,83;27,72
266;64.19.1;BALANOSCOPIA;D90;6,20;6,20
267;64.19.2;RICERCA DEL TREPONEMA AL PARABOLOIDE;D90;7,75;7,75
268;64.2;ASPORTAZIONE O DEMOLIZIONE DI LESIONE DEL PENE;T50;29,75;35,76
269;64.92.1;FRENULOTOMIA;T50;18,59;22,32
270;64.93;LIBERAZIONE DI SINECHIE PENIENE;T50;19,83;23,76
271;65.11;AGOASPIRAZIONE ECO-GUIDATA DEI FOLLICOLI;T50;87,80;105,36
272;65.91;AGOASPIRAZIONE DI CISTI DELL' OVAIO;T50;42,14;50,52
273;66.8;INSUFFLAZIONE DELLE TUBE;T50;21,69;26,04
274;67.12;BIOPSIA ENDOCERVICALE [ISTEROSCOPIA];D24;24,79;34,72
275;67.19.1;BIOPSIA MIRATA  DELLA PORTIO A GUIDA COLPOSCOPICA - BIOPSIA DI UNA O PIU' SEDI;D30;27,27;38,22
276;67.32;CAUTERIZZAZIONE DEL COLLO UTERINO;T50;37,18;44,64
277;67.33;CRIOCHIRURGIA DEL COLLO UTERINO;T50;37,18;44,64
278;68.12.1;ISTEROSCOPIA;D24;21,69;30,38
279;68.16.1;BIOPSIA DEL CORPO UTERINO;D30;29,75;41,72
280;68.29.1;ASPORTAZIONE DI TUMORI BENIGNI PEDUNCOLATI DELL' UTERO;T50;46,48;55,80
281;69.7;INSERZIONE DI DISPOSITIVO CONTRACCETTIVO INTRAUTERINO (I.U.D.);T90;12,91;12,91
282;69.92;INSEMINAZIONE ARTIFICIALE;T50;77,47;93,00
283;69.92.1;CAPACITAZIONE DEL MATERIALE SEMINALE;T50;12,91;15,48
284;70.11.1;IMENOTOMIA;T50;24,79;29,76
285;70.21;COLPOSCOPIA;D29;10,74;10,74
286;70.24;BIOPSIA DELLE PARETI VAGINALI;D30;19,83;27,72
287;70.29.1;BIOPSIA DELLE PARETI VAGINALI A GUIDA COLPOSCOPICA;D30;24,79;34,72
288;70.33.1;ASPORTAZIONE DI CONDILOMI VAGINALI;T50;29,75;35,76
289;71.11;BIOPSIA DELLA VULVA O DELLA CUTE PERINEALE;D30;19,83;27,72
290;71.22;INCISIONE DI ASCESSO DELLA GHIANDOLA DEL BARTOLINO;T50;24,79;29,76
291;71.30.1;ASPORTAZIONE CONDILOMI VULVARI E  PERINEALI;T50;19,83;23,76
292;71.90.1;ALTRI INTERVENTI SULL' APPARATO GENITALE FEMMINILE;T50;29,75;35,76
293;75.10.1;PRELIEVO DEI VILLI CORIALI;D30;87,80;122,92
294;75.10.2;AMNIOCENTESI PRECOCE;D30;77,47;108,50
295;75.10.3;AMNIOCENTESI TARDIVA;D30;61,97;86,80
296;75.33.1;FUNICOLOCENTESI CON RACCOLTA DI CELLULE STAMINALI EMOPOIETICHE ;D30;87,80;122,92
297;75.34.1;CARDIOTOCOGRAFIA;D29;16,42;16,42
