"Codice Regione";"Anno";"Codice Azienda";"Codice struttura";"Denominazione struttura";"Codice Comune";"Indirizzo";"CAP";"Prefisso";"Telefono";"Tipo struttura";"Tipo rapporto con il S.S.N.";"Codice struttura di ricovero";"Titolare della convenzione";"Anno apertura";"Mese apertura";"Anno chiusura";"Mese chiusura";"Mesi di funzionamento";"Descrizione tipo assistenza erogata";"Flag Stato STS11";"Flag Stato STS11";"Apparecchiature tecnico biomediche"
"100";"2013";"201";"040701";"CONSULTORIO BETTONA";"054003";"VIA PERUGIA";"06080";"075";"9869719";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"1997";"01";"    ";"  ";"12";"ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE        ";"0";"0";" "
"100";"2013";"202";"054501";"Residenza Protetta Bevagna";"054004";"Corso Matteotti";"06025";"0742";"3391";"STRUTTURA RESIDENZIALE                            ";"1";"      ";" ";"2011";"09";"    ";"  ";"12";"ASSISTENZA AGLI ANZIANI                           ";"0";"0";" "
"100";"2013";"202";"050302";"CONSULTORIO C.D.S. BEVAGNA";"054004";"Via S. Anna, 14";"06031";"0742";"361996";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"1996";"01";"    ";"  ";"12";"ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE        ";"0";"0";" "
"100";"2013";"202";"050301";"Centro di Salute Bevagna";"054004";"Via S. Anna, 14";"06031";"0742";"361996";"AMBULATORIO E LABORATORIO                         ";"1";"      ";" ";"1996";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";" "
"100";"2013";"202";"082901";"CENTRO SALUTE 3 PUNTO EROGAZIONE CAMPELLO";"054005";"LOC. SETTECAMINI";"06042";"0743";"521348";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"2007";"01";"    ";"  ";"12";"ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE        ";"0";"0";"X"
"100";"2013";"202";"082901";"CENTRO SALUTE 3 PUNTO EROGAZIONE CAMPELLO";"054005";"LOC. SETTECAMINI";"06042";"0743";"521348";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"2007";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";"X"
"100";"2013";"201";"040402";"CONSULTORIO CANNARA";"054006";"P.ZZA MARCONI";"06033";"0742";"72398";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"1997";"01";"    ";"  ";"12";"ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE        ";"0";"0";" "
"100";"2013";"201";"040401";"P.E. CANNARA";"054006";"P.ZZA MARCONI";"06033";"0742";"72398";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"1997";"01";"    ";"  ";"12";"ATTIVITA` DI LABORATORIO                          ";"0";"0";" "
"100";"2013";"202";"091301";"Comunità Terapeutica Riabilitativa Tipo 1 L'Arcobaleno";"054007";"Via Tranquillo Graziani";"06043";"0743";"76492";"STRUTTURA RESIDENZIALE                            ";"2";"      ";"2";"2003";"11";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"202";"091201";"Centro Salute Mentale Valnerina";"054007";"VIA MAZZINI, 14";"06043";"0743";"7506259";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"1985";"08";"2013";"01";"12";"ATTIVITA` CLINICA                                 ";"0";"0";" "
"100";"2013";"202";"090901";"Comunità Alloggio Dopo di noi";"054007";"Via Cursula, 9/N";"06043";"0743";"817209";"STRUTTURA RESIDENZIALE                            ";"2";"      ";"2";"2011";"02";"    ";"  ";"12";"ASSISTENZA AI DISABILI PSICHICI                   ";"0";"0";" "
"100";"2013";"202";"090901";"Comunità Alloggio Dopo di noi";"054007";"Via Cursula, 9/N";"06043";"0743";"817209";"STRUTTURA RESIDENZIALE                            ";"2";"      ";"2";"2011";"02";"    ";"  ";"12";"ASSISTENZA AI DISABILI FISICI                     ";"0";"0";" "
"100";"2013";"202";"090601";"Centro Socio Riabilitativo ed Educativo Diurno per disabili L'Oasi";"054007";"Piazzale Dante Alighieri";"06043";"0743";"751373";"STRUTTURA SEMIRESIDENZIALE                        ";"2";"      ";"2";"2001";"01";"    ";"  ";"12";"ASSISTENZA AI DISABILI PSICHICI                   ";"0";"0";" "
"100";"2013";"202";"090601";"Centro Socio Riabilitativo ed Educativo Diurno per disabili L'Oasi";"054007";"Piazzale Dante Alighieri";"06043";"0743";"751373";"STRUTTURA SEMIRESIDENZIALE                        ";"2";"      ";"2";"2001";"01";"    ";"  ";"12";"ASSISTENZA AI DISABILI FISICI                     ";"0";"0";" "
"100";"2013";"202";"090402";"Centro Salute Mentale Valnerina";"054007";"Via XX Settembre, 2";"06043";"0743";"7506259";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"2013";"01";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"202";"090402";"Centro Salute Mentale Valnerina";"054007";"Via XX Settembre, 2";"06043";"0743";"7506259";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"2013";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";" "
"100";"2013";"202";"090401";"Centro di Salute 2 PES Cascia";"054007";"Via XX Settembre, 2";"06043";"0743";"76653";"AMBULATORIO E LABORATORIO                         ";"1";"      ";" ";"1996";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";" "
"100";"2013";"202";"090203";"RSA Residenza Sanitaria Assistenziale Cascia";"054007";"VIA GIOVANNI XXIII";"06043";"0743";"75061";"STRUTTURA RESIDENZIALE                            ";"1";"100805";" ";"2006";"11";"    ";"  ";"12";"ASSISTENZA AGLI ANZIANI                           ";"0";"0";" "
"100";"2013";"202";"090202";"Consultorio Ospedale Civile di Cascia";"054007";"Via Giovanni XXIII";"06043";"0743";"75061";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"100805";" ";"1996";"01";"    ";"  ";"12";"ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE        ";"0";"0";" "
"100";"2013";"202";"090201";"STABILIMENTO DI CASCIA";"054007";"VIA GIOVANNI XXIII";"06043";"0743";"75061";"AMBULATORIO E LABORATORIO                         ";"1";"100805";" ";"1996";"01";"    ";"  ";"12";"DIAGNOSTICA STRUMENTALE E PER IMMAGINI            ";"0";"0";"X"
"100";"2013";"202";"090201";"STABILIMENTO DI CASCIA";"054007";"VIA GIOVANNI XXIII";"06043";"0743";"75061";"AMBULATORIO E LABORATORIO                         ";"1";"100805";" ";"1996";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";"X"
"100";"2013";"202";"083001";"CENTRO SALUTE 3 PUNTO EROGAZIONE LA BRUNA";"054008";"Via Unità d'Italia 23";"06044";"0743";"252047";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"2007";"01";"    ";"  ";"12";"ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE        ";"0";"0";" "
"100";"2013";"202";"083001";"CENTRO SALUTE 3 PUNTO EROGAZIONE LA BRUNA";"054008";"Via Unità d'Italia 23";"06044";"0743";"252047";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"2007";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";" "
"100";"2013";"201";"069950";"ISTITUTO VILLA NAZARENA POZZUOLO";"054009";"VIA INDIPENDENZA, 8 - POZZUOLO U.";"06060";"075";"959137";"STRUTTURA RESIDENZIALE                            ";"2";"      ";"4";"2012";"01";"    ";"  ";"12";"ASSISTENZA AI DISABILI PSICHICI                   ";"0";"0";" "
"100";"2013";"201";"069934";"CENTRO DIAGN. 'TRASIMENO'";"054009";"VIA F. ROSSELLI, 8";"06061";"075";"9652764";"AMBULATORIO E LABORATORIO                         ";"2";"      ";"2";"2003";"08";"    ";"  ";"12";"ATTIVITA` DI LABORATORIO                          ";"0";"0";"X"
"100";"2013";"201";"061301";"SER.RIAB.ADULTI C.LAGO";"054009";"VIA ROMA";"06061";"075";"951190";"AMBULATORIO E LABORATORIO                         ";"1";"      ";" ";"1981";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";" "
"100";"2013";"201";"060804";"SREE C. LAGO";"054009";"VIA ROMA";"06061";"075";"951190";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"2008";"01";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"060801";"POLIAMBULATORIO C.LAGO";"054009";"VIA CARDUCCI, 11";"06061";"075";"965862";"AMBULATORIO E LABORATORIO                         ";"1";"      ";" ";"1997";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";" "
"100";"2013";"201";"060201";"STAB.OSP.CASTIGLIONE DEL LAGO";"054009";"PIAZZA GRAMSCI 1";"06061";"075";"95261";"AMBULATORIO E LABORATORIO                         ";"1";"100803";" ";"1997";"01";"    ";"  ";"12";"ATTIVITA` DI LABORATORIO                          ";"0";"0";"X"
"100";"2013";"201";"060201";"STAB.OSP.CASTIGLIONE DEL LAGO";"054009";"PIAZZA GRAMSCI 1";"06061";"075";"95261";"AMBULATORIO E LABORATORIO                         ";"1";"100803";" ";"1997";"01";"    ";"  ";"12";"DIAGNOSTICA STRUMENTALE E PER IMMAGINI            ";"0";"0";"X"
"100";"2013";"201";"060201";"STAB.OSP.CASTIGLIONE DEL LAGO";"054009";"PIAZZA GRAMSCI 1";"06061";"075";"95261";"AMBULATORIO E LABORATORIO                         ";"1";"100803";" ";"1997";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";"X"
"100";"2013";"202";"091101";"Centro di Salute 1 Poliambulatorio Borgo Cerreto";"054010";"Via Valnerina";"06040";"0743";"922156";"AMBULATORIO E LABORATORIO                         ";"1";"      ";" ";"1996";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";"X"
"100";"2013";"202";"090501";"Centro di Salute 1 PES Cerreto di Spoleto";"054010";"PIAZZA PONTANO";"06040";"0743";"922155";"AMBULATORIO E LABORATORIO                         ";"1";"      ";" ";"1996";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";" "
"100";"2013";"201";"069930";"OPERA PIA CREUSA BRIZI BITTONI";"054012";"VIA CAPUCCINI, 42";"06062";"0578";"298340";"STRUTTURA RESIDENZIALE                            ";"2";"      ";"2";"1997";"01";"    ";"  ";"12";"ASSISTENZA AGLI ANZIANI                           ";"0";"0";" "
"100";"2013";"201";"060701";"POLIAM.CITTA` DELLA PIEVE";"054012";"V. BEATO G. VILLA,1";"06062";"0578";"290826";"AMBULATORIO E LABORATORIO                         ";"1";"      ";" ";"1997";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";" "
"100";"2013";"201";"060608";"CENTRO RESIDENZIALE D.A.I.";"054012";"Via Beato Giacomo Villa, 1";"06062";"0578";"290965";"STRUTTURA RESIDENZIALE                            ";"1";"      ";" ";"2010";"03";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"060607";"CENTRO SEMIRESIDENZIALE D.A.I.";"054012";"Via Beato Giacomo Villa, 1";"06062";"0578";"290965";"STRUTTURA SEMIRESIDENZIALE                        ";"1";"      ";" ";"2010";"04";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"060606";"CENTRO D.A.I.";"054012";"VIA BEATO G. VILLA";"06062";"075";"290958";"AMBULATORIO E LABORATORIO                         ";"1";"      ";" ";"2009";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";" "
"100";"2013";"201";"060605";"R.S.A. CITTA' DELLA PIEVE";"054012";"BEATO G. VILLA, 1";"06062";"0578";"290958";"STRUTTURA RESIDENZIALE                            ";"1";"      ";" ";"2005";"07";"    ";"  ";"12";"ASSISTENZA AGLI ANZIANI                           ";"0";"0";" "
"100";"2013";"201";"060301";"STAB.OSP.CITTA` DELLA PIEVE";"054012";"V.BEATO G.VILLA, 1";"06062";"0578";"290111";"AMBULATORIO E LABORATORIO                         ";"1";"100803";" ";"1997";"01";"    ";"  ";"12";"ATTIVITA` DI LABORATORIO                          ";"0";"0";"X"
"100";"2013";"201";"060301";"STAB.OSP.CITTA` DELLA PIEVE";"054012";"V.BEATO G.VILLA, 1";"06062";"0578";"290111";"AMBULATORIO E LABORATORIO                         ";"1";"100803";" ";"1997";"01";"    ";"  ";"12";"DIAGNOSTICA STRUMENTALE E PER IMMAGINI            ";"0";"0";"X"
"100";"2013";"201";"060301";"STAB.OSP.CITTA` DELLA PIEVE";"054012";"V.BEATO G.VILLA, 1";"06062";"0578";"290111";"AMBULATORIO E LABORATORIO                         ";"1";"100803";" ";"1997";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";"X"
"100";"2013";"201";"011903";"UNITA' DI CONVIVENZA 2 'VILLA IGEA'";"054013";"V.LE DIAZ N.3";"06012";"075";"8509028";"STRUTTURA RESIDENZIALE                            ";"1";"      ";" ";"2005";"02";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"011902";"UNITA' DI CONVIVENZA 1 'VILLA IGEA'";"054013";"V.LE DIAZ N. 3";"06012";"075";"8509027";"STRUTTURA RESIDENZIALE                            ";"1";"      ";" ";"2005";"02";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"011901";"C.S.M.  ALTO TEVERE";"054013";"VIA MONSIGNOR PIEGGI,  4";"06012";"075";"8509040";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"1970";"03";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"011404";"CSA - CENTRO SOLIDARIETA' SEDE CITTA' DI CASTELLO";"054013";"VIA CORTONESE, 2 LOC. SANTA MARIA DEL POPOLO";"06012";"075";"8554827";"STRUTTURA RESIDENZIALE                            ";"2";"      ";"4";"2012";"01";"    ";"  ";"12";"ASSISTENZA PER TOSSICODIPENDENTI                  ";"0";"0";" "
"100";"2013";"201";"011403";"CENTRO SOLIDARIETA' AREZZO - CSA - ONLUS";"054013";"VIA POMERIO SAN GIROLAMO";"06012";"075";"8520390";"STRUTTURA SEMIRESIDENZIALE                        ";"2";"      ";"4";"2008";"01";"    ";"  ";"12";"ASSISTENZA PER TOSSICODIPENDENTI                  ";"0";"0";" "
"100";"2013";"201";"011402";"CENTRO DIURNO ALZHEIMER";"054013";"VIA PERUGINI";"06012";"075";"8559507";"STRUTTURA SEMIRESIDENZIALE                        ";"1";"      ";" ";"2002";"04";"    ";"  ";"11";"ASSISTENZA AGLI ANZIANI                           ";"0";"0";" "
"100";"2013";"201";"011401";"FLAUTO MAGICO";"054013";"VIA PIEVE DELLE ROSE";"06012";"075";"8521298";"STRUTTURA SEMIRESIDENZIALE                        ";"1";"      ";" ";"1999";"01";"    ";"  ";"11";"ASSISTENZA AI DISABILI FISICI                     ";"0";"0";" "
"100";"2013";"201";"010501";"OPERA PIA MUZZI BETTI";"054013";"VIA DELLE TERME N. 4";"06012";"075";"8554234";"STRUTTURA RESIDENZIALE                            ";"2";"      ";"4";"1997";"01";"    ";"  ";"12";"ASSISTENZA AI DISABILI PSICHICI                   ";"0";"0";" "
"100";"2013";"201";"010501";"OPERA PIA MUZZI BETTI";"054013";"VIA DELLE TERME N. 4";"06012";"075";"8554234";"STRUTTURA RESIDENZIALE                            ";"2";"      ";"4";"1997";"01";"    ";"  ";"12";"ASSISTENZA AGLI ANZIANI                           ";"0";"0";" "
"100";"2013";"201";"010401";"TERME DI FONTECCHIO";"054013";"VIA DELLE TERME";"06012";"075";"8520614";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"2";"      ";"2";"1997";"01";"    ";"  ";"12";"ASSISTENZA IDROTERMALE                            ";"0";"0";" "
"100";"2013";"201";"010108";"CENTRO DIURNO ALZHEIMER - TRESTINA";"054013";"P.zza Dino Garinei";"06018";"342";"1738608";"STRUTTURA SEMIRESIDENZIALE                        ";"1";"      ";" ";"2011";"04";"    ";"  ";"11";"ASSISTENZA AGLI ANZIANI                           ";"0";"0";" "
"100";"2013";"201";"010107";"CENTRO SOCIO RIABILITATIVO DISABILI MINORI I° 'CASA METTIUS'";"054013";"Via S. Ansano, Frazione Piosina";"06012";"075";"85091";"STRUTTURA SEMIRESIDENZIALE                        ";"1";"      ";" ";"2011";"10";"    ";"  ";"11";"ASSISTENZA AI DISABILI PSICHICI                   ";"0";"0";" "
"100";"2013";"201";"010106";"SERVIZIO RIABILITAZIONE ADULTI";"054013";"VIA PIERO DELLA FRANCESCA";"06012";"075";"8509380";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"2007";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";" "
"100";"2013";"201";"010105";"SERVIZIO INTEGRATO PER L' ETA' EVOLUTIVA";"054013";"VIA PIERO DELLA FRANCESCA";"06012";"075";"8509355";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"2007";"01";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"010103";"CENTRO SALUTE C. CASTELLO";"054013";"VIA VASARI 5";"06012";"075";"8509972";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"1997";"01";"    ";"  ";"12";"ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE        ";"0";"0";" "
"100";"2013";"201";"010103";"CENTRO SALUTE C. CASTELLO";"054013";"VIA VASARI 5";"06012";"075";"8509972";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"1997";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";" "
"100";"2013";"201";"010102";"SERT ALTO TEVERE";"054013";"PIAZZA SAN GIOVANNI IN CAMPO";"06012";"075";"8509202";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"1997";"01";"    ";"  ";"12";"ASSISTENZA AIDS                                   ";"0";"0";" "
"100";"2013";"201";"010102";"SERT ALTO TEVERE";"054013";"PIAZZA SAN GIOVANNI IN CAMPO";"06012";"075";"8509202";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"1997";"01";"    ";"  ";"12";"ASSISTENZA PER TOSSICODIPENDENTI                  ";"0";"0";" "
